cluster,district,date_announced,category,cases_total
KLUSTER KAMPUNG CHANDANG,PASIR MAS,2021-08-31,community,8
KLUSTER JALAN USJ 1/3B,PETALING,2021-08-31,highRisk,25
KLUSTER BERIS PANCHOR,BACHOK,2021-08-31,community,14
KLUSTER KAMPUNG KUBANG GENDANG CHETOK,PASIR MAS,2021-08-31,community,6
KLUSTER KAMPUNG NIPAH,BACHOK,2021-08-31,community,19
KLUSTER JALAN PASAR PENGKALAN CHEPA,KOTA BHARU,2021-08-31,workplace,22
KLUSTER LADANG SRI TELANG,LIPIS,2021-08-31,workplace,126
KLUSTER JALAN TANJUNG LABOH,BATU PAHAT,2021-08-31,workplace,20
KLUSTER KAMPUNG SUNGAI SIA,RAUB,2021-08-31,community,9
KLUSTER NASAKOT,RANAU,2021-08-31,community,31
KLUSTER INDUSTRI DUA BATU 16 SETENGAH RAWANG,GOMBAK,2021-08-31,workplace,56
KLUSTER INDUSTRI MERANTI JAYA 10,SEPANG,2021-08-31,workplace,13
KLUSTER KAWASAN PERINDUSTRIAN 11,"KOTA BHARU, BACHOK, PASIR MAS",2021-08-31,workplace,14
KLUSTER PAKU MINYAK BEKU,BATU PAHAT,2021-08-31,workplace,15
KLUSTER KAMPUNG PECAH ROTAN,"KUALA NERUS, KUALA TERENGGANU",2021-08-31,community,97
KLUSTER INDUSTRI PARIT JU,BATU PAHAT,2021-08-31,workplace,24
KLUSTER LADANG RENJOK,BENTONG,2021-08-31,workplace,78
KLUSTER KAMPUNG NELAYAN BENUT,PONTIAN,2021-08-31,community,86
KLUSTER JALAN SAWIT BARU ENAM,KULAI,2021-08-31,workplace,41
KLUSTER SAWIT JEROCO,LAHAD DATU,2021-08-31,workplace,87
KLUSTER DAH GAJAH MATI,"KOTA SETAR, PENDANG, KUALA MUDA, KULIM, BANDAR BAHARU",2021-08-31,highRisk,51
KLUSTER DTI SEPANG 3,SEPANG,2021-08-31,detentionCentre,254
KLUSTER PALUT,DUNGUN,2021-09-01,community,15
KLUSTER MIKRO,"JOHOR BAHRU, KULAI, KOTA TINGGI, PONTIAN & KLUANG",2021-09-01,workplace,132
KLUSTER TEKNOLOGI KESIDANG,MELAKA TENGAH & ALOR GAJAH,2021-09-01,workplace,28
KLUSTER SYMPHONY MAGAZINE,TIMUR LAUT & SEBERANG PERAI UTARA,2021-09-01,community,96
KLUSTER PASAI,"SIBU, MUKAH, MIRI, SRI AMAN, KANOWIT, KAPIT, SIMUNJAN, DALAT, KUCHING, BINTULU, JULAU, SARIKEI, SELANGAU, BELURU, BETONG, BELAGA, SUBIS, SONG, LUNDU, BUKIT MABONG, SEBAUH",2021-09-01,community,2693
KLUSTER INDUSTRI MAHKOTA,KUALA LANGAT ,2021-09-02,workplace,22
KLUSTER KEJURUTERAAN SUBANG BARU,PETALING,2021-09-02,workplace,84
KLUSTER JALAN CYBER 14,KULAI,2021-09-02,workplace,35
KLUSTER TAPAK BINA PERSIARAN PUTERI,PETALING,2021-09-02,workplace,37
KLUSTER HULU JEROCCO,KINABATANGAN,2021-09-02,workplace,64
KLUSTER JALAN PARIT MESJID,MUAR,2021-09-02,workplace,23
KLUSTER LENGKOK EMAS,SEREMBAN,2021-09-02,workplace,55
KLUSTER SENAI CITY LAPAN,KULAI & JOHOR BAHRU,2021-09-02,workplace,114
KLUSTER BESI CYBER,KULAI,2021-09-02,workplace,28
KLUSTER DIALISIS MASJID TANAH,"ALOR GAJAH, MELAKA TENGAH, JASIN & REMBAU",2021-09-02,highRisk,24
KLUSTER JALAN BUDIMAN,CHERAS,2021-09-02,education,9
KLUSTER TAPAK BINA JALAN PANTAI,LEMBAH PANTAI,2021-09-02,workplace,167
KLUSTER JALAN NUSA MEGA,"JOHOR BAHRU, PONTIAN",2021-09-03,workplace,79
KLUSTER TAPAK BINA JALAN U-THANT,TITIWANGSA,2021-09-03,workplace,46
KLUSTER TAPAK BINA JALAN SALAK,LEMBAH PANTAI,2021-09-03,workplace,158
KLUSTER JALAN SETIA JAYA,BATU PAHAT,2021-09-03,community,181
KLUSTER JALAN INDUSTRI A1,TANGKAK,2021-09-03,workplace,21
KLUSTER AMANJAYA,"KUALA MUDA, PENDANG, YAN",2021-09-03,highRisk,16
KLUSTER SUNGAI LEMBING,KUANTAN,2021-09-03,community,14
KLUSTER LORONG KILANG,"PETALING, KLANG",2021-09-03,workplace,42
KLUSTER MEDAN BAYAN LEPAS,"BARAT DAYA, TIMUR LAUT, SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, KUALA MUDA, KULIM",2021-09-03,workplace,205
KLUSTER SUNGAI KLUANG SATU,"BARAT DAYA, TIMUR LAUT, SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, SEBERANG PERAI SELATAN, KERIAN",2021-09-04,workplace,170
KLUSTER SIM-SIM,SANDAKAN,2021-09-04,community,18
KLUSTER TAMAN BUKIT PANTAI,"LEMBAH PANTAI, PETALING, KUALA LANGAT",2021-09-04,education,24
KLUSTER JALAN ISMAIL SULTAN,JOHOR BAHRU,2021-09-04,workplace,44
KLUSTER DISSO,"SARATOK, BETONG",2021-09-04,community,92
KLUSTER SUNGAI GEMUAN,MERADONG,2021-09-04,community,91
KLUSTER BATU LIMA JALAN SIBUGA,SANDAKAN,2021-09-04,education,8
KLUSTER TAPAK BINA JALAN TUN HUSSEIN ONN,SEBERANG PERAI TENGAH,2021-09-05,workplace,72
KLUSTER LAK LOK,"BESUT, KOTA BHARU, PASIR PUTEH",2021-09-05,community,100
KLUSTER LORONG TIUNG,"KUALA LANGAT, KLANG",2021-09-05,workplace,88
KLUSTER JALAN STADIUM NEGERI,"KUCHING, SAMARAHAN, SERIAN",2021-09-05,community,58
KLUSTER KOPITIAM KAMPUNG SELAMAT,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",2021-09-05,workplace,20
KLUSTER DESA MURNI,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",2021-09-05,education,42
KLUSTER TEBEDU MAWANG,TEBEDU,2021-09-05,community,50
KLUSTER JALAN L SUNGAI BEHRANG,"MUALLIM, BATANG PADANG, HILIR PERAK, BANDAR BAHARU",2021-09-05,community,56
KLUSTER JALAN HAJI MAHMUD,"JOHOR BAHRU, KOTA TINGGI",2021-09-05,religious,64
KLUSTER TANAH MERAH,"PORT DICKSON, SEREMBAN",2021-09-05,religious,63
KLUSTER JALAN SATU,GOMBAK,2021-09-05,workplace,16
KLUSTER SRI TUALANG,PASIR MAS,2021-09-05,community,27
KLUSTER KAWASAN INDUSTRI DUA,MUAR,2021-09-05,workplace,100
KLUSTER LOT SEMBILAN,"KUALA PENYU, BEAUFORT, PAPAR",2021-09-06,workplace,79
KLUSTER LORONG PERUSAHAAN 8A,"SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, SEBERANG PERAI SELATAN",2021-09-06,workplace,44
KLUSTER JALAN KELULI SEMBILAN,JOHOR BAHRU,2021-09-06,workplace,18
KLUSTER DAH MENGKUDU,"KOTA SETAR, KUBANG PASU, PENDANG, YAN",2021-09-06,workplace,69
KLUSTER INDUSTRI TELUK KALONG,KEMAMAN,2021-09-06,workplace,108
KLUSTER PERUSAHAAN DUA BATU CAVES,GOMBAK,2021-09-06,workplace,26
KLUSTER SUNGAI RASAU 27,"KLANG, PETALING, KUALA LANGAT, KUALA SELANGOR",2021-09-06,workplace,39
KLUSTER CAMAR LAPAN,KUALA LANGAT,2021-09-06,workplace,8
KLUSTER INDUSTRI BALAKONG TUJUH,"HULU LANGAT, PETALING, GOMBAK",2021-09-06,workplace,36
KLUSTER JALAN WISMA,KOTA KINABALU,2021-09-06,workplace,7
KLUSTER ALAM JAYA DUA,"KUALA SELANGOR, GOMBAK, PETALING, KLANG",2021-09-06,workplace,146
KLUSTER GONG MENGKELEH,PASIR PUTEH,2021-09-06,community,21
KLUSTER KAMPUNG HUDA,"KOTA BHARU, BACHOK, PASIR PUTEH, TUMPAT",2021-09-06,workplace,25
KLUSTER PUTRA SEMBILAN,"PUTRAJAYA, SEPANG ",2021-09-06,education,12
KLUSTER INDUSTRI MEDAN TASEK,"KINTA, KUALA KANGSAR, KAMPAR",2021-09-06,workplace,153
KLUSTER BENTENG SRI AMAN,SRI AMAN,2021-09-07,detentionCentre,62
KLUSTER SUNGAI JELAI KUALA LIPIS,"LIPIS, RAUB, TEMERLOH, BERA, MARAN",2021-09-07,highRisk,164
KLUSTER PAGAR TAMAN IKS,KUALA SELANGOR,2021-09-07,detentionCentre,69
KLUSTER JALAN MATANG,KEPONG,2021-09-07,workplace,32
KLUSTER JALAN DUKU KIRI,JOHOR BAHRU,2021-09-07,workplace,28
KLUSTER JALAN SRI PLENTONG TIGA,JOHOR BAHRU,2021-09-07,workplace,22
KLUSTER INDUSTRI NAKHODA,SABAK BERNAM,2021-09-07,workplace,21
KLUSTER TAMAN MERDEKA PERMAI,MELAKA TENGAH,2021-09-07,workplace,31
KLUSTER JALAN HAJI JAIB,MUAR,2021-09-07,workplace,24
KLUSTER JALAN SAW AH CHOY,"LARUT, MATANG DAN SELAMA",2021-09-07,workplace,51
KLUSTER TAMAN BISMI RAHMAT,TANAH MERAH,2021-09-07,community,32
KLUSTER JALAN PASAR BASAH MUKAH,"MUKAH, DALAT",2021-09-07,workplace,56
KLUSTER BATU LAPAN BAKRI,MUAR,2021-09-07,workplace,57
KLUSTER JALAN IPOH KECIL,LEMBAH PANTAI,2021-09-07,workplace,13
KLUSTER INDUSTRI JALAN GOMBAK BATU 11,GOMBAK,2021-09-07,workplace,31
KLUSTER INDUSTRI JALAN TELOK GONG,KLANG,2021-09-07,workplace,46
KLUSTER ZONE T SELATAN,"SEPANG, KUALA LANGAT",2021-09-07,workplace,55
KLUSTER JALAN DESA PUTERA,KLANG,2021-09-07,education,14
KLUSTER KAMPUNG BUNUT SATUT,KOTA BHARU,2021-09-07,community,9
KLUSTER TAPAK BINA BIDARA,SEREMBAN,2021-09-07,workplace,75
KLUSTER TAMAN CEMPAKA,"MELAKA TENGAH, ALOR GAJAH, JASIN",2021-09-07,workplace,105
KLUSTER INDUSTRI JALAN KUSTA,"GOMBAK, PETALING",2021-09-07,workplace,25
KLUSTER JALAN BUKIT BAKRI,MUAR,2021-09-07,workplace,13
KLUSTER PERSIARAN AGAS,"TANGKAK, MUAR, SEGAMAT, BATU PAHAT, JASIN, MELAKA TENGAH",2021-09-07,workplace,561
KLUSTER INDUSTRI JALAN SATU SELESA JAYA,HULU LANGAT,2021-09-07,workplace,17
KLUSTER TAPAK BINA JALAN KHOO TEIK EE,"LEMBAH PANTAI, CHERAS",2021-09-07,workplace,127
KLUSTER SAWIT SEGAMA,LAHAD DATU,2021-09-07,community,17
KLUSTER KAMPUNG GELUGOR,TANAH MERAH,2021-09-07,community,96
KLUSTER TEMBOK MIRI,"MIRI, SUBIS",2021-09-07,detentionCentre,407
KLUSTER JALAN SERAMIK CHEPOR 11/1,"KUALA KANGSAR, KINTA, HULU PERAK",2021-09-07,workplace,1316
KLUSTER BUKIT TAMPOI,"SEPANG, KUALA LANGAT",2021-09-08,community,69
KLUSTER TAPAK BINA PERSIARAN MAHKOTA,KUALA LANGAT,2021-09-08,workplace,227
