date,cases_active,cases_adolescent,cases_adult,cases_elderly
2021-09-27,177564,947,6804,1356
2021-09-28,174496,995,7107,1279
2021-09-29,169722,959,7983,1448
2021-09-30,164540,1134,7954,1330
2021-10-01,160417,982,7492,1293
2021-10-02,155827,941,6802,1200
2021-10-03,150321,832,5381,1062
2021-10-04,142864,636,5063,979
2021-10-05,135949,681,5631,1047
2021-10-06,132179,761,5888,1064
2021-10-07,129053,773,6175,1215
2021-10-08,126002,762,6038,1181
2021-10-09,120249,720,5276,1075
2021-10-10,116599,542,4511,929
2021-10-11,112382,493,4087,912
2021-10-12,109000,579,4507,908
2021-10-13,106050,495,5006,1026
2021-10-14,101590,545,5019,1047
2021-10-15,98776,423,4664,944
2021-10-16,96666,468,4799,876
2021-10-17,93517,365,3836,773
2021-10-18,90444,317,3497,700
2021-10-19,87187,305,3725,711
2021-10-20,83226,271,3590,741
2021-10-21,81778,339,3949,826
2021-10-22,80700,303,4252,851
2021-10-23,77308,286,3711,740
2021-10-24,75950,293,3543,733
2021-10-25,73226,227,2944,651
2021-10-26,73261,263,3656,741
2021-10-27,71716,271,3940,809
2021-10-28,71361,289,4081,828
2021-10-29,70061,263,3905,757
2021-10-30,69156,266,3779,744
2021-10-31,67972,194,3241,685
2021-11-01,67236,151,2976,646
2021-11-02,66865,175,3291,715
2021-11-03,67163,199,3513,643
2021-11-04,66947,191,3734,734
2021-11-05,66243,173,3215,677
2021-11-06,65508,164,2999,686
2021-11-07,64626,150,2820,604
2021-11-08,61763,150,2924,667
2021-11-09,61777,208,3540,657
2021-11-10,62893,207,4208,812
2021-11-11,63830,245,4147,770
2021-11-12,64280,246,4288,823
2021-11-13,65322,178,3839,810
2021-11-14,65420,181,3256,783
2021-11-15,65959,195,3381,677
2021-11-16,65319,220,3508,699
2021-11-17,66796,225,4185,787
2021-11-18,67361,241,4253,832
2021-11-19,68640,228,4193,728
2021-11-20,69488,251,3846,730
2021-11-21,68793,189,3260,604
2021-11-22,67987,200,3205,661
2021-11-23,68626,212,3760,677
2021-11-24,69262,227,3798,745
2021-11-25,68756,245,4033,817
2021-11-26,67548,196,3722,661
2021-11-27,67253,212,3409,631
2021-11-28,66456,155,2818,524
2021-11-29,65498,202,2626,546
2021-11-30,65154,209,3290,583
2021-12-01,63741,197,3668,645
2021-12-02,62254,304,3875,643
2021-12-03,62487,304,3683,626
2021-12-04,62671,211,3298,537
2021-12-05,62001,184,2866,509
2021-12-06,60331,185,2804,542
2021-12-07,60413,229,3314,645
2021-12-08,60880,223,3434,575
2021-12-09,60858,282,3724,574
2021-12-10,60875,223,3410,581
2021-12-11,60780,192,3113,553
2021-12-12,58854,143,2318,487
2021-12-13,57928,154,2317,475
2021-12-14,57676,159,2771,511
2021-12-15,56991,139,2720,458
2021-12-16,56231,142,2927,521
2021-12-17,55477,193,2976,490
2021-12-18,54096,142,2757,503
2021-12-19,53484,105,2152,390
2021-12-20,52220,99,1659,370
2021-12-21,51026,152,2054,391
2021-12-22,49397,163,2369,444
2021-12-23,47866,133,2387,443
2021-12-24,46886,148,2409,420
2021-12-25,45601,135,2131,431
2021-12-26,44821,120,1855,370
2021-12-27,42923,143,1854,343
2021-12-28,42363,137,1957,352
2021-12-29,41688,145,2530,499
2021-12-30,41667,182,2674,546
2021-12-31,41227,150,2495,424
2022-01-01,41040,151,2296,405
2022-01-02,40612,123,1980,372
2022-01-03,39739,135,1816,376
2022-01-04,39688,139,1875,368
2022-01-05,39745,158,2197,445
2022-01-06,39785,190,2387,443
2022-01-07,39703,177,2249,383
2022-01-08,39782,156,2200,407
2022-01-09,39933,160,1945,343
2022-01-10,39748,160,1709,334
2022-01-11,39919,231,2080,346
2022-01-12,39902,168,2151,368
2022-01-13,40282,211,2482,370
2022-01-14,40564,209,2301,336
2022-01-15,40791,186,2112,311
2022-01-16,41205,256,2048,260
2022-01-17,40624,273,1473,239
2022-01-18,40767,444,2033,312
2022-01-19,41135,451,2095,243
2022-01-20,41623,526,2388,343
2022-01-21,42849,667,2525,354
2022-01-22,44093,510,2695,335
2022-01-23,45126,468,2500,332
2022-01-24,45214,462,2012,322
2022-01-25,45705,588,2594,321
2022-01-26,46791,634,3160,302
2022-01-27,47811,957,3450,331
2022-01-28,50036,592,3758,346
2022-01-29,51403,591,3434,342
2022-01-30,53254,545,3306,344
2022-01-31,54783,539,3134,327
2022-02-01,57155,530,3811,384
2022-02-02,59688,497,4054,368
2022-02-03,61432,488,3981,385
2022-02-04,63401,581,5105,506
2022-02-05,65958,712,6393,644
2022-02-06,69578,858,6938,778
2022-02-07,74567,937,7591,852
2022-02-08,83077,1174,9578,1117
2022-02-09,94521,1581,11794,1329
2022-02-10,107889,1541,13392,1417
2022-02-11,122997,1836,14686,1455
2022-02-12,140342,1797,16321,1640
2022-02-13,155679,1608,15081,1526
2022-02-14,168453,1594,15373,1557
2022-02-15,182971,1611,15673,1731
2022-02-16,202869,2177,19788,1984
2022-02-17,217787,2019,19004,1867
2022-02-18,233071,2143,19726,2069
2022-02-19,243348,2068,20581,2170
2022-02-20,251684,1828,19331,1972
2022-02-21,258991,1676,18041,1964
2022-02-22,267090,1765,19424,2125
2022-02-23,277835,2067,21944,2554
2022-02-24,286527,1911,23538,2553
2022-02-25,294436,1629,22540,2491
2022-02-26,298982,1462,19914,2296
2022-02-27,301029,1250,17716,2157
2022-02-28,293430,1188,16748,2178
2022-03-01,293658,1291,18785,2480
2022-03-02,293486,1300,19879,2688
2022-03-03,298238,1586,23662,2945
2022-03-04,305017,1517,24396,3044
2022-03-05,311213,1508,24815,3072
2022-03-06,308258,1110,20164,2692
2022-03-07,304311,1188,19679,2680
2022-03-08,306687,1327,23306,3048
2022-03-09,310167,1244,22251,3161
2022-03-10,314427,1293,22491,3092
2022-03-11,322707,1276,23961,3348
2022-03-12,323791,984,19372,2814
2022-03-13,320883,836,16449,2436
2022-03-14,308949,744,16293,2311
2022-03-15,304154,1039,19292,2746
2022-03-16,299338,1079,20743,2894
2022-03-17,296806,914,19763,2838
2022-03-18,294373,903,17754,2517
2022-03-19,283282,842,16138,2300
2022-03-20,274066,689,13991,1948
2022-03-21,263828,709,12703,1900
2022-03-22,252677,780,15613,2135
2022-03-23,248869,791,16423,2282
2022-03-24,247609,1051,17734,2411
2022-03-25,247072,1023,15464,2080
2022-03-26,242494,923,14765,2082
2022-03-27,233148,757,12050,1647
2022-03-28,220878,496,9256,1465
2022-03-29,211877,642,10605,1545
2022-03-30,206599,739,11186,1511
2022-03-31,206862,773,13048,1598
2022-04-01,206987,802,12108,1530
2022-04-02,201240,671,10363,1304
2022-04-03,192955,598,8596,1140
2022-04-04,179627,502,6960,972
2022-04-05,171180,530,8483,1014
2022-04-06,162224,595,8417,1084
2022-04-07,157579,740,8323,1040
2022-04-08,158447,850,10564,1251
2022-04-09,153471,608,6983,909
2022-04-10,145806,614,5499,746
2022-04-11,134477,551,5287,751
2022-04-12,126463,759,6213,826
2022-04-13,120600,953,6865,825
2022-04-14,117793,1116,6874,842
2022-04-15,113183,1227,6303,794
2022-04-16,108530,1257,6258,777
2022-04-17,103908,708,4385,637
2022-04-18,96609,648,4801,704
2022-04-19,92047,982,3760,551
2022-04-20,90732,978,4504,601
2022-04-21,88192,650,3869,506
2022-04-22,85411,714,4238,534
2022-04-23,80985,563,3778,466
2022-04-24,74760,415,2735,355
2022-04-25,68015,258,1650,276
2022-04-26,61879,400,2192,305
2022-04-27,58444,391,2288,330
2022-04-28,53784,274,2125,259
2022-04-29,50302,184,1903,260
2022-04-30,45514,179,1508,207
2022-05-01,41175,111,1086,160
2022-05-02,36448,77,1009,151
2022-05-03,31841,74,619,126
2022-05-04,28785,68,558,207
2022-05-05,27462,71,894,150
2022-05-06,25525,58,941,137
2022-05-07,23284,72,1004,160
2022-05-08,22564,109,1614,208
2022-05-09,22376,133,1708,214
2022-05-10,22961,189,1912,248
2022-05-11,24858,259,2421,285
2022-05-12,26834,222,2550,303
2022-05-13,28742,249,2251,263
2022-05-14,29770,167,1784,208
2022-05-15,30743,158,1661,193
2022-05-16,30887,117,1237,178
2022-05-17,30517,103,1047,152
2022-05-18,29979,168,1521,180
2022-05-19,29797,168,1590,189
2022-05-20,29237,187,1488,178
2022-05-21,28093,166,1463,200
2022-05-22,26519,133,1285,199
2022-05-23,25156,128,1140,155
2022-05-24,24948,175,1397,173
2022-05-25,25180,199,1833,209
2022-05-26,25197,127,1396,177
2022-05-27,25392,166,1289,208
2022-05-28,25226,155,1209,140
2022-05-29,24401,88,843,113
2022-05-30,23787,114,939,146
2022-05-31,23160,147,1037,145
2022-06-01,23056,166,1345,143
2022-06-02,23216,166,1441,142
2022-06-03,23054,159,1382,155
2022-06-04,22455,98,1226,137
2022-06-05,22191,96,1043,129
2022-06-06,21638,82,1034,114
2022-06-07,21210,68,832,129
2022-06-08,21597,70,1211,142
2022-06-09,22082,94,1497,156
2022-06-10,22759,88,1770,179
2022-06-11,22720,70,1327,168
2022-06-12,22403,90,1217,144
2022-06-13,22615,101,1681,169
2022-06-14,22969,131,1460,176
2022-06-15,23894,167,1774,200
2022-06-16,24585,128,1607,146
2022-06-17,25634,113,1687,192
2022-06-18,26370,121,1642,191
2022-06-19,25952,79,1334,152
2022-06-20,25960,107,1670,176
2022-06-21,26163,117,1429,222
2022-06-22,27034,200,1822,224
2022-06-23,27326,173,2196,254
2022-06-24,28255,188,1893,274
2022-06-25,28018,152,1715,282
2022-06-26,28159,141,1499,185
2022-06-27,28101,152,1368,219
2022-06-28,27755,147,1477,217
2022-06-29,28722,226,1959,216
2022-06-30,29442,229,2137,263
2022-07-01,30225,229,2047,277
2022-07-02,30393,153,1914,233
2022-07-03,29801,167,1889,281
2022-07-04,29390,142,1437,197
2022-07-05,30027,217,2219,271
2022-07-06,31548,300,2671,318
2022-07-07,33847,280,3109,309
2022-07-08,35206,201,2773,361
2022-07-09,35331,193,2096,278
2022-07-10,35890,204,2480,343
2022-07-11,35766,174,1781,255
2022-07-12,35724,154,1729,263
2022-07-13,36902,298,2996,401
2022-07-14,38921,256,3146,394
2022-07-15,41216,300,4082,506
2022-07-16,42489,296,3871,528
2022-07-17,42519,229,3009,423
2022-07-18,42193,189,2251,379
2022-07-19,43152,241,2787,551
2022-07-20,45492,321,4396,571
2022-07-21,47417,285,3425,518
2022-07-22,48676,226,2883,505
2022-07-23,49555,229,3839,421
2022-07-24,48260,141,1954,393
2022-07-25,46324,188,2369,473
2022-07-26,46268,318,3564,535
2022-07-27,46914,287,3425,479
2022-07-28,47294,220,2924,455
2022-07-29,48308,286,3764,462
2022-07-30,47022,265,3235,451
2022-07-31,45314,132,2005,392
2022-08-01,44672,153,2336,473
2022-08-02,44286,225,3145,522
2022-08-03,46531,322,4105,518
2022-08-04,47542,240,3321,504
2022-08-05,46514,243,2890,464
2022-08-06,46912,256,3620,442
2022-08-07,45778,149,1928,391
2022-08-08,43883,178,2068,349
2022-08-09,42725,198,2238,362
2022-08-10,44630,313,3695,469
2022-08-11,46089,282,3614,519
2022-08-12,45383,278,2890,425
2022-08-13,44625,266,3321,436
2022-08-14,43439,164,2254,370
2022-08-15,42210,148,1746,303
2022-08-16,40748,218,2509,370
2022-08-17,41708,234,2568,399
2022-08-18,42483,245,3080,411
2022-08-19,42774,216,2541,368
2022-08-20,40897,142,2091,336
2022-08-21,38925,139,1833,288
2022-08-22,37703,102,1462,316
2022-08-23,35558,156,1976,352
2022-08-24,34977,148,1899,326
2022-08-25,35995,176,2483,299
2022-08-26,35744,170,2370,329
2022-08-27,34515,131,1873,302
2022-08-28,32908,101,1637,270
2022-08-29,31575,92,1405,287
2022-08-30,31166,105,1596,260
2022-08-31,30998,110,1790,255
2022-09-01,31470,104,1800,269
2022-09-02,31171,112,1743,310
2022-09-03,30204,108,1742,254
2022-09-04,28968,72,1424,264
2022-09-05,27553,40,1105,231
2022-09-06,27335,59,1568,307
2022-09-07,27083,64,1940,277
2022-09-08,27407,48,1768,263
2022-09-09,27377,48,1557,250
2022-09-10,26956,60,1518,252
2022-09-11,26346,39,1108,219
2022-09-12,26040,64,1398,239
2022-09-13,25700,81,1460,258
2022-09-14,26306,100,1827,332
2022-09-15,27212,103,1816,295
2022-09-16,27165,96,1469,268
2022-09-17,26039,48,1205,204
2022-09-18,25618,73,1234,197
2022-09-19,25090,44,954,194
2022-09-20,24722,77,1188,261
2022-09-21,25334,97,1608,245
2022-09-22,25666,119,1697,261
2022-09-23,25724,92,1539,303
2022-09-24,25285,81,1459,254
2022-09-25,24539,95,1221,193
2022-09-26,24028,57,854,172
2022-09-27,23890,78,1119,210
2022-09-28,24720,127,1904,244
2022-09-29,25181,104,1353,267
2022-09-30,25776,97,1521,270
2022-10-01,25016,103,1162,228
2022-10-02,24104,53,1053,175
2022-10-03,23338,52,948,161
2022-10-04,22964,66,1123,181
2022-10-05,23045,78,1348,186
2022-10-06,23608,84,1380,224
2022-10-07,23884,75,1382,227
2022-10-08,23128,62,1214,239
2022-10-09,22779,72,1125,166
2022-10-10,22174,41,978,141
2022-10-11,21870,57,987,177
2022-10-12,22152,74,1260,207
2022-10-13,22811,91,1648,226
2022-10-14,23564,104,1777,241
2022-10-15,23888,90,1575,242
2022-10-16,23899,59,1335,221
2022-10-17,23077,41,904,182
2022-10-18,23432,62,1503,209
2022-10-19,24338,108,1823,235
2022-10-20,25643,112,2062,259
2022-10-21,26533,91,1719,294
2022-10-22,27306,90,2122,271
2022-10-23,27385,58,1631,289
2022-10-24,27001,46,1375,246
2022-10-25,26804,51,1392,198
2022-10-26,27239,67,1722,253
2022-10-27,28726,66,2281,288
2022-10-28,30061,110,2655,384
2022-10-29,30708,122,2580,343
2022-10-30,31371,120,2596,303
2022-10-31,31442,111,2309,319
2022-11-01,31753,116,2291,355
2022-11-02,33024,145,3238,394
2022-11-03,34604,217,3848,460
2022-11-04,35534,264,3499,415
2022-11-05,36577,312,3649,435
2022-11-06,36711,206,3084,428
2022-11-07,34710,114,1970,292
2022-11-08,35593,311,2934,362
2022-11-09,34903,284,2477,353
2022-11-10,34039,272,2648,370
2022-11-11,33072,289,2412,383
2022-11-12,31215,258,2141,344
2022-11-13,29611,117,1687,302
2022-11-14,28790,91,1336,231
2022-11-15,27920,184,2195,337
2022-11-16,28171,266,2493,408
2022-11-17,27883,193,2741,378
2022-11-18,27717,146,2379,343
2022-11-19,27162,82,1987,291
2022-11-20,26804,35,1229,273
2022-11-21,27147,77,1680,249
2022-11-22,27009,97,1916,375
2022-11-23,27219,146,2800,424
2022-11-24,26862,133,2161,412
2022-11-25,26909,108,2330,400
2022-11-26,27014,101,2142,480
2022-11-27,27213,89,1527,291
2022-11-28,27644,72,2000,289
2022-11-29,26584,48,1303,230
2022-11-30,24966,69,1269,312
2022-12-01,24473,176,1711,340
2022-12-02,24059,116,1867,334
2022-12-03,23105,80,1417,257
2022-12-04,22511,51,1178,198
2022-12-05,21806,69,1159,262
2022-12-06,21764,67,1200,280
2022-12-07,22012,87,1265,240
